idadenumero  sexo  glabela  fronte  incisivos  mentoredondo  mentoproeminencia  orbita
Adulto  Masculino  Proeminente  Vertical  MuitoRedondo  MuitoQuadrado  Proeminente  Redonda
PosPuberal  Feminino  NadaProeminente  MuitoInclinada  MuitoRedondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Arredondado  Proeminente  Redonda
Adulto  Feminino  PoucoProeminente  Inclinada  Redondo  Quadrado  MuitoProeminente  Redonda
PosPuberal  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Arredondado  Proeminente  Angulosa
Velho  Feminino  NadaProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Angulosa
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  Quadrado  Discreto  Redonda
Adulto  Feminino  NadaProeminente  MuitoInclinada  Redondo  MuitoArredondado  MuitoDiscreto  Angulosa
Velho  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Arredondado  Discreto  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Adulto  Feminino  NadaProeminente  Inclinada  Quadrado  Quadrado  Discreto  Angulosa
Velho  Masculino  Proeminente  Vertical  Quadrado  Arredondado  Discreto  Redonda
Velho  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  MuitoProeminente  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Quadrado  MuitoProeminente  Redonda
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Angulosa
PosPuberal  Masculino  Proeminente  Vertical  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  Arredondado  Discreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  Arredondado  Proeminente  Angulosa
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
