@relation null

@attribute idadenumero {De30a43,De54a66,De23a29,De44a53,De18a22}
@attribute sexo {Feminino,Masculino}
@attribute glabela {NadaProeminente,Proeminente,PoucoProeminente,MuitoProeminente,Indisponivel}
@attribute fronte {MuitoVertical,Inclinada,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoArredondado,MuitoQuadrado,Indisponivel}
@attribute mentoproeminencia {Discreto,Proeminente,MuitoProeminente,MuitoDiscreto,Indisponivel}
@attribute orbita {Angulosa,Redonda,MuitoRedonda,Indisponivel,MuitoAngulosa}

@data
De54a66,Feminino,PoucoProeminente,MuitoVertical,Redondo,MuitoArredondado,MuitoProeminente,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,MuitoArredondado,Proeminente,Redonda
De44a53,Feminino,NadaProeminente,MuitoInclinada,Redondo,Arredondado,Proeminente,Redonda
De23a29,Feminino,NadaProeminente,MuitoInclinada,Redondo,Quadrado,Proeminente,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
De18a22,Feminino,PoucoProeminente,MuitoVertical,Redondo,MuitoArredondado,Proeminente,Redonda
De30a43,Feminino,PoucoProeminente,Vertical,Redondo,MuitoArredondado,Discreto,Redonda
De18a22,Masculino,PoucoProeminente,MuitoInclinada,Redondo,MuitoQuadrado,Discreto,Angulosa
De18a22,Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,MuitoDiscreto,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
De54a66,Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoQuadrado,MuitoDiscreto,Redonda
De23a29,Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,MuitoProeminente,Redonda
De18a22,Masculino,Proeminente,Vertical,Redondo,MuitoArredondado,Proeminente,Angulosa
De30a43,Masculino,Proeminente,Vertical,Quadrado,Quadrado,MuitoDiscreto,Redonda
De30a43,Masculino,Proeminente,Vertical,Quadrado,Quadrado,MuitoDiscreto,Redonda
De23a29,Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Masculino,Proeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
De18a22,Feminino,PoucoProeminente,Vertical,Redondo,MuitoArredondado,Discreto,Redonda
De18a22,Feminino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Redonda
De23a29,Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Angulosa
De23a29,Masculino,MuitoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
De18a22,Feminino,NadaProeminente,Inclinada,MuitoRedondo,MuitoQuadrado,Discreto,Angulosa
De18a22,Feminino,PoucoProeminente,Vertical,MuitoQuadrado,Arredondado,MuitoDiscreto,Angulosa
De23a29,Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
De18a22,Masculino,MuitoProeminente,MuitoVertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
De44a53,Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Masculino,MuitoProeminente,MuitoVertical,Quadrado,Quadrado,Proeminente,Angulosa
De18a22,Masculino,Proeminente,Vertical,MuitoRedondo,MuitoQuadrado,Proeminente,Redonda
De30a43,Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
De23a29,Feminino,PoucoProeminente,Vertical,MuitoRedondo,Arredondado,Discreto,Redonda
De18a22,Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Proeminente,Angulosa
De44a53,Feminino,PoucoProeminente,MuitoVertical,Redondo,Arredondado,Discreto,Redonda
